,salary,customer_lifetime_value,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed
salary,1.0,,-0.0069820278708786895,-0.006609740343259342,-0.011611734054677834,0.0027405439801048807,0.0027464712599365453
customer_lifetime_value,,,,,,,
total_flights,-0.0069820278708786895,,1.0,0.9089871707977557,0.8934985886565445,0.15536075285916567,0.1553684776151132
distance,-0.006609740343259342,,0.9089871707977557,1.0,0.977728016022067,0.13994817439931706,0.13994920351814572
points_accumulated,-0.011611734054677834,,0.8934985886565445,0.977728016022067,1.0,0.12184651002747283,0.12184816765863536
points_redeemed,0.0027405439801048807,,0.15536075285916567,0.13994817439931706,0.12184651002747283,1.0,0.9999951090033702
dollar_cost_points_redeemed,0.0027464712599365453,,0.1553684776151132,0.13994920351814572,0.12184816765863536,0.9999951090033702,1.0
